heldout_scenario,simulation_id,sample_index,loho_first_stage_sha256,full24_first_stage_sha256,loho_policy_sha256,full24_policy_sha256,loho_heldout_recourse_sha256,full24_heldout_recourse_sha256,heldout_emergency_expenditure,heldout_shortage_loss,heldout_total_cost,full24_policy_heldout_total_cost,heldout_policy_regret_vs_full24,heldout_exercise_Water,heldout_shortage_Water,heldout_exercise_Vaccine,heldout_shortage_Vaccine,heldout_exercise_Crackers,heldout_shortage_Crackers,heldout_raw_total_shortage,heldout_service_level_cross_unit_descriptive,row_sha256,status
h01,LA-0914,914,d2c114e50cf90f8393ef5adf566e013ec769105fbe6da9be13ec06963311fa68,b0cd97439c36a8dc0fb2ecbf5d6d0140713fd5e423d17c79a4e8ad127509ad07,bebf1b13f0b08a4c83df49c9b4016dcde153dcffe440f47b3d004ea819a669c0,fea7e2bd1f76a7b001baeac8e70c6c4513f3a4e6ebd8c2d56c44a8ced852191d,1f1231214add6fe712fec49b5fe225688979dd6912909197aaf8684fd6d312b2,fe80534b78154a5112d2b4c55a9098794a6ac311bb253410b9ac29f1c2590bbd,1055297.2376548662,3499999.99999999,11439283.45475693,11439283.45475693,0.0,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,decd7f18c636983f6e6b012bff013ebe9a07261ff62e0144e1e5813c0ac0c1a4,PASS
h01,LA-0802,802,ee108bc4738d21db45a0770e2a94d48303dc0b84d81d7474113f88805c8e86a8,98abb891557869060b34f30516f6af956cc96ed1bb5e54b615d5a1cda32ca7ba,72505e908f7fa96d717d0fb26dd160a549477c005fbc4e26c240e926d4b27856,8c68cd363295a80a6c076e957d45b83ecee681984fc17feee92fa4b88a8e79b9,9e24990ef5f3bba4d0211f336ed30ec4835a4d91f748ec89eefc34d465c7e41b,b7df2f3717899540ad2e9ca4abc83467ab1feb3a20246237f243bddf340fd60c,1358678.5831212008,4406779.999999991,10844387.161572397,10205888.3999992,638498.7615731973,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,93e23f06081c93c36b1466af226e5d6fe7f624b8586959dcbbd9c9f991581b06,PASS
h01,LA-0642,642,a1ab5e265a925f4dbf5c38f6c3084c27d13f2f29e038092e2cfea92fc53fe051,46e78e6e42701e48c539ef42555acf45c46431d71b7a9d0bc73e7bd94f862859,f8865a610b658129099e27ca534731203a1d8f330a4927c5c35d907e8b661215,99cd56c56fdba833c6dd1558a25723eb71028448c6e9f459a688864e2573ae3f,717a17e2bed1ef6124e8a219b8b8013716b4b0b93e1d1e1cf6ab898998676840,22582722a81bc12eda9075ed3eaed435831201319bf385b1043cba9f9abbcbcd,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,835b51bc321b0b909a472162a551e5a774514510ed4eddc10a627d8cead95fa5,PASS
h01,LA-0765,765,653d6bdec6a0d9431a238935a3198530c045a2921286499f300f4eebb37ba1cd,db5220c6436b325b032342b57b366f0664d9fb27550f29bc808d7d4d309334cb,6ce5fc8ffbf2fac058cadd1b54b9ea9c77404426d077678cad1e3ebe9f7e3de2,9846171180d7fb2337bc339cd1e3d5fe62f34a6d62ed2a15b647a194fbaabd61,59b23a0f69d2894260cb277e28743aca79b390b4b62750530a98ea5fac9e5c6f,b7e7711e0d270e09973cfc6dae54fb1f2b302c4d1a109152215e334de21c27cb,2026656.4958877952,3499999.99999999,5828031.432323953,6400621.302130587,-572589.8698066343,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,4f63558c91a122ebe717801c1ddc67b485806a277f9bdbe4740962438e93f14b,PASS
h01,LA-0334,334,e2b62a9b9d41a1c6690c937d009d366d24e9ab722edfd63d15c1cc7339547c55,93e44626d4e257a2561a87b512ca670b2f6d9f94aadeb1e21cf86f78d7cf52ae,402d8d1168a6b574f6e4e11fd2f19f4049689e6b66cd26281da8b1bcf6f501e0,8f1f50a2cc179079aae8afd5fc19dbc298a30b64b36e4ec6ac1c244a28a729fe,d014cae5b6e3af69a67211b6e21ea3d89f44118c202f27d77c8363b723fd2165,6586e366a1c2bad328bd001d5938e63d2ef717f4684975c6b929c33d53cc7da0,2917453.6451247786,906780.0000000001,4305235.55765385,6662027.775779349,-2356792.218125499,0.0,350000.0,62877.263581488754,0.0,12250000.0,0.0,350000.0,0.9723601522217543,b4064a4cf4bf46639022f5a0c5b2f80fb9d74d44bbaed65dc9c18b590e8d8c88,PASS
h01,LA-0396,396,b7e70e2896e4f9835bafd60848d3a87a16163653ac147f48a637fc8c784184f1,6aa61f97a73add7082ed9b3484989c97745891b0ec05b9daaa357aa67793bfcf,4d46e26ef4cdd383e7e2e9a191d5490a180d4745ce33eed2702971e2844268df,fdcb7e0a151b0e042ddb8b70b2148461491661ff5b5fb2ac41a279daed7535b7,51a02b570fc6c70026edde261483b9778e342e1006b91a7bb432ffbdf0fa8a06,c3ba4653b91a0510387cacd6aa2ff9d2c5f5954ac693d99caa71b5ecdcc7a954,828127.9460319247,4406779.999999991,9870214.104096528,9126954.154899795,743259.9491967335,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,99f1cd08effbaa9f37c89e6ac2423baa8d9c98cb441931ed2d11672f4a1ef16e,PASS
h01,LA-0358,358,889ec3ae3e882d17cf3f609268531eb001609f963dc6ba270618c096481f1a91,003111069f562e7bec42cdfdb4ecd4484b45bdd89db2758f9cf1d583de6dade7,17de16b0d6951c01a6ead0d5687d9076ca387d051ab479c45587a6f766e4ba63,6faca3c761acad43136dfdbadf66429a8719fbaff656ed04e4b987c3ad6c177d,51389de2d296f164d31b5f53e1c547061aa35cdf9ec057de1ecac542582fb79a,8facecce23d6279fe1100d6ae2334f6307a801cf7a4f964d7558207646a6c807,692901.2637254946,4406779.999999991,7949112.151799656,7949112.151799656,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,02dc048324e686ae8a7ca12257a44ab26a06ac138c7a2a5bf9378336932e2f04,PASS
h01,LA-0467,467,58f3b8f9b85719d29216770a807226363fe44b672eb777117e5c7f544b6510c8,a635e2756ae4b717e8015b783fa663fa4b3976bd9a969e2e286ab451e1a34e91,ea1184408b6a14f8815dced6456aac44fdda2618b078d1d16c54c675c2f61227,89c4834bc02a71a472899068ee9a2b672c63ad69c04a8d167bb105a28c328bba,fbfe6c4e66b8ae7499a70b6bd4f45de8f4be50061226d3c5f72dc6741748e9f6,965fd3b8293ef79467950b26ccf6510c0e1ebde2105aa844f71e9c586d6bac3d,612439.7084396385,4406779.999999991,17979065.588994525,18139826.77387099,-160761.1848764643,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,2e0f647cc38361a29f1e390d60bae8dd283ef86fc04266d370e1b1f01423ec1d,PASS
h01,LA-0021,21,d478b95a22a1f5217493c474dd4ca722b8afdde039820251b1e5f04e1e335004,374653a59e3c08adc8d3795cd0ff0312e192ba14a3b7af6f2b731e26a7e28b22,ec81c41902a4a725d1f3b6416cfeb5a278bd605974fc597b8ea014f2df1cbde9,1043c26bc69168369bc901ea703ec25f7f026952832577aa46ccfa6b5ef68654,af3ad0a1e1141dd79a443fca304c7f424c42e3a187caf8a846fd0b9696a3871f,20624e33f5af342dbe23cd91b65418b0dcaf27e559be48967aa6b8916eaeec36,1597488.95433989,4406779.999999991,10319841.566510767,10319841.566510767,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,870f28de486196e8c2561ad8a9a89bf11e89e224b43df2a26feb88d1911ff205,PASS
h01,LA-0148,148,808b146075d60b19e1fef3562e5f999f6647a40b4b837a8bc1893deda627095f,6024117e31a15079dfc0da4753540f87fa9c5e5d594252437835ea999ba8b650,219f3402af37b3d90ab07be4b63495f03ee0a8285632268a348b1c9ca866c853,259b6d6901da74ab80c15b5199bb5a1c25a6ab4cb43397349702a7cba5f85bd5,a67a207c32f5415ac6ef48965913646f1070f67e20c92e237924d046b5f3b3d3,e32c745f64ea8f293677073b2ac5b7016a797486237b52f5099861c8859aa190,1518989.9205609497,4406779.999999991,12144408.22935181,12144408.229351811,-1.862645149230957e-09,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,b88568a8b8c3cb35450f0babdf53263f469f0ebfe9c7643a90e208ba3ea51d52,PASS
h01,LA-0248,248,d6dc76df3dff56b47d6927e337bdb66984068df6f86d0bdea1b4c4a6ae443c06,cc6c03b75aebb3dbd819f61ada7ee6c45e5e5a3267965dc0da52a596e2099132,8b688f954121def249693295bd3430ebb08f6be9f5f37867645687cbde029673,c62849d21859bf8c6a8a5581a9853918d0565e2f76d73c64f450d470d3ca310b,a563c09c0e959412f010d11b0612a9a62cfdf6cafd9cbe66a218a9839d156c4b,490ff6997902a00975ecb2816f070f5c503c791c52e598637bc7f20e00a86b61,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,8957dc6e5f7a55ad87198db672c45d9b6831a749a6ce763bf6e23081fe67561c,PASS
h01,LA-0349,349,b1e4e554568b232fff484a503386b53634c9250aa024471b33f9d4af2bafe90d,25ea8ac9d7b45d7cbc4fce5a85c137f01f716389e9eedcb5d0e28f7cb11c86c9,c526cec696c0b2254a7cdc1651cc9e6265d6e89ae78e4571153958b71d41410d,8948a75374f6fd975d89262e878fe65efbd066724f34ae092ea3eff353ad6744,967ed9ef760ea36d784f0b7ca25e579a62747996b659d6bd22d4f86fcffe4cc3,b1f357f773e5c243d7a55a6682cfbbffbdcad419a19a70ef2efc39ca47a91aef,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,71129e24851ba712d162315f7b5b998277692901e9f77480377422a116ba72e3,PASS
h01,LA-0460,460,3ecd85ff4c57960c8f48bd06df19bd551388277465340a0a6df944e11b0601f9,ad89d939183b6d03309ddf45ccc19d342a18ae85066ddf07995ab6979c658dee,5f1275ad1fbcda5c7ed7beeff659c90ec703440282dab6263ffbd2f4880e8e1b,8bb6f96d74daab4f54f8294c104bfefa930f5199cf92dcb0d8a25a20e8a12823,fc219981ca06e239460d9e54a0103df769aaf785d1fcd6d24f059fa8975dff63,2113c4fb7d74da0d5463445fb9fa6b31797272003ec085b98ff7d888624ef2db,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,1ef48eeb8d6201cb8edce531b9174209a1e7b250078095e05f4da97b073e7b72,PASS
h01,LA-0561,561,0800791127ebff090d44449c416d33ce195ae9a2b92210e461c325f868228270,50851a5b7deb677bad697520291e43f4448e6392a494582c655416ae593f3027,40a6905d787113641792b6f56d351461a78ded81c41ff79360f33ddc61c90a65,32b4fc6d127953ad6df2c6fbf74b8a3e367f01d72376d9d324e38bc78cfc03b9,40c8a1bbcc56602e72aa003999c4a852c46217c1346a212518ad24e2fb35bc31,195cddbadf043a4aad2d29ec3466631f3341167e97634bb9e9b4cc2a520d4a65,843219.3192523159,4406779.999999991,12522078.140978832,12522078.140978832,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,89afcb7c7a984ca49ddf7f6280c860e190d0e06bfa551b027217ba1619f91fc6,PASS
h01,LA-0563,563,219de58d49ca6dc5cd773e75d890d211d5c339b6a47872975779065cd74934e0,20b3c190a0396ab13dbc5d012cc43e197347c389f6c1213c8cfb3df258f42715,b67d84bb3c9dc48725433a6199aa759db374462e86e0d02be4cd18de4068dc8b,2d6bf122be2e26b49e505da0fce8dcd394a81c47d8db2a54b1ef40c48efe56f0,f84555d50ae1a4cd4266bbb6f0cb8435fe44ba5f77801aefc97b33cb71e1a401,7bf658caa69cfdcd0091dbc8d424392f35c226bbcf182afc1b31814ada251979,645015.297082135,4406779.999999991,5338763.768522067,5338763.768522067,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,50b0f93bca4d3d26f37374f724edf837ed088dd50a7ad48994fca6a78e336e83,PASS
h01,LA-0925,925,15bf483dedad9a9b3587f7645cbe38a22206b111d591904dc9af01d278f746ed,22afecd3e42f3d210e46bdda0658e8dbac134a9bea99b4d0daf350da8acd31a3,e0715bea646f6f8d689863ebdcd23f8d73d060e06c4f868b45ecf9f7ca2e310c,38b9a4ba709d709145e907b23b512ddbfe4e0ea5a876df6581a9a13d1f82a9dc,19c16e76a2881d242b17f92734a314041c705c1319a9411ece5b961d4d62d9ff,5fc5886821f23d52885a4e268faf1f1b51d8621131992805a0d5480d839d38c4,996313.3505027014,4406779.999999991,14031012.791681552,14886318.315716006,-855305.5240344536,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,d2c199c1bdd81481023ab560098d649f5f7ff0a2b2adf119925f3096979b8918,PASS
h01,LA-0803,803,990bacbe717ef1e3fa959def6bd21d1eaa9f3c4f2bae2942d16a74a3f1c6b6c6,a2ff426a0e96d455fddc226acded307d3fb65db13aa0686bda38ff48e74b164c,f913391d784ec261a4ab256db8c08b0bcd7afb194436c54533840587d7103b97,91adf603f842ace1563cd3a3dbe8f5ae6c5e579a6b0c8e29ad9526508a808338,95f40e5c6f8bc042197be24ff2f0a6ec9def0351a1bbcc2eefd22f9a7bab93d7,2b5a235dd055008472e0fde0deaa8a39f61c8d92eb087db2af313d6791693a8d,772711.4764843191,4406779.999999991,10896808.789613422,10896808.789613422,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,811687150fb7d6dc18ae03c0b4fcca9b62b62a53d919d1879914e81a50897ced,PASS
h01,LA-0008,8,cb18bc94687e02ecdfacba811090b370c9b159aced8157692443d99785269970,07f320947b5159798c4c3999e4a07ee1b90f485adad7089d15594e566d1843d5,a096a2c4c9528d6431a28066d605f596b82eb7b76de9aab0ab7303238adf1d3f,3af60c16b6ade13f8e34f9a443d1297e512b096132cdb17671a5e3173f26da4d,a31ee10b75cdf2c0c9cdc553578dac097599cbe0b19d83fbd2a1df3d6bd61dc3,d9655cbb3bc6ef4fc3ef3c955d1641e9f799a2869629de102b85f104bb85acfa,0.0,4592280.0,23730185.85543843,23730185.85543843,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,b4191293938f66b80caa1fd1970a94ded54acf85fd019f59c0c68e6121f0038f,PASS
h01,LA-0461,461,f7664778b260ed03ff231d79249854bdf81b5a20b1fb8dae3665b4bd18821291,d158492c09649e60b964ee3ff46817b7a6525135b096d68f2b4a718c88de0910,0133bcf7906845fa1d146eb5bafce978c2134d1b9e28265bc560546585ef7c93,2cc613eee5cab0f7342e9b44a6eaee4fdb38b3e58379fefe19a8916f7f90ce81,78e5ccf552e83e138879ac6051cfd9817bbc51e2bad02271d0a72305cea42ec7,12ed4eb6f36b7aba7e1db1d76d5b74fd0150c020da7e4d2342f2a8b20a660019,650674.3045367867,4406779.999999991,16125641.435689088,16125641.435689088,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,35294cd753a59e356534dcf5c39e69299b3c989e55204add1d10845e68ab6991,PASS
h01,LA-0873,873,f9f5d97867c4c3ba2d5d06505c0436508921db7d5249ae84d87174627eee72d6,471b5f520abd70588f18886fde68bb55eb6ade1de1a282225059060e738aba76,cfcb753d640de40e6591c899f4276b56f1a02dce2c3721508c4893fa7bc7b394,08cd71730a6ad04b854195e6537c17045d487649d18deddfac3ac3f7a1b71acd,c3f655b5dc1d70c38d12c72df99177669d005a0ff445f376b4a4c7c12a10735c,1b0e5915c6897ec87d5caf95c3c5b86f1bb19f822029d76f8f3594230df3712c,1732468.9390854812,3499999.99999999,13295176.03251334,13295176.03251334,0.0,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,cbe6094260fd228c06423140886bf75c0f46a98dcaaee41f303ab26df400a749,PASS
h01,LA-0954,954,a8c22a0e7177796c8bdc8053e4bd15534645b51f67747a9390aa0fb115a88285,66cd531f708222daebdec2ed317800e23b79a11d55b2106c20c847e6833200a7,b2ec46cb0ef029084d2dc575fa4395893ad45f02b65dc1c4813d3706d70ae731,3b9c9f5bd1070cebbfa3e32a4d13b4a9c594ad45c8f2b1d71b4dde7a8824fbf8,ca9b71e606f5a1fa11510138f77fd1ca81690b9b57a1bc00d9fdf8e4be878eee,13f802fc5d0d51bff5293c49e9f3d2b122263f13e3cb9c69b14d1cc3554cd339,1258083.3243495396,0.0,11661024.275088293,15451729.214795645,-3790704.939707352,350000.0,0.0,62877.263581488754,0.0,12250000.0,0.0,0.0,1.0,a559b2f14955b5657ced93eadeec76250b6f1fcbd970449ea20e8980e6256ed9,PASS
h01,LA-0631,631,85e50fd5423acf5fb23db699d32768944c21f07718deae007e99da7e65793f87,19650ebcf87a692b029c220118599b6f73f2d2b8d39007af5ca23cb85f6ac78c,e74e3cd36779274f8864629e991c8605544f3b23c8f14aca2146f4e4cf619c4e,cd2cfd3b32b30e2122a35437373139acccc2562b831e175b9a4e42593c46716d,7ec037a905d133109446c1bafa7bc24e088f87ad9281b0543902b126c22607ca,7ba51b482f4f0e850918ec4ff2c0221e9702fc0b4976b573d868f02fa4f481a6,1566925.9382271303,4406779.999999991,7885886.592122146,7885886.592122146,0.0,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,f6f953d284eb3f985fb17eb196efcd760caade73d075ab43f2daea81d31f772c,PASS
h01,LA-0266,266,1258b39a3be4078d73b0b3969d959f02e5b8da03ead9cb80220301ac9e662ecb,dbab22361b89fd690d685fa013fa6ea266c347545015eabbe2e0abdfdf25cdec,757364d52287e49c698483889f2d98f636b5dbd7171e0bf13c96a00b4cf6a2b5,4ac8344542d1314dc644b7807f0f64844e51649e01e6428cec5d41b69da65a0d,b48c59e0ea9dd272caf6a08792163f2c063c94044de3a106024a5a6539e93b14,62388ab73dd11996e88aca179e8737a6ff486afc4dac54bf9103e178b279d826,1606440.3119361764,0.0,3913830.5488493433,7686333.4037143765,-3772502.854865033,350000.0,0.0,62877.263581488754,0.0,12250000.0,0.0,0.0,1.0,8c9d88845e8eac2e0e05d691da38fdeef944cebcd8d2843114361c802b7b3db9,PASS
h01,LA-0537,537,cc96985a2687fa4bff47eed5a689ade949e8edb90359187d966398e2f18a50fb,bc3d0f288d63142cb9ee7736220166cb78a8443edcd08147fd6fa1082bf3e687,386c1aaeb6ab8b882dba5a0dd661e7ab34cde5d525fbee9e85b560bb6ffff24f,bda36cfe56a776701d083da7be653f29e7ab7a2dd9b9c9244adf0e2c2811e502,dd08253b302ea2833369df5002e69e2ac5d928f19e36529c7c9d35967a9c4438,27c512b149d8a196a273f2746fed5a9f6a2f4fa4771dd818988e5590067240e7,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,e55531b39b247fe1acfb0da33bffee35506c0270a84d6484d1a08962570dc9b9,PASS
h01,LA-0751,751,3114b1f9e75eee42f181dbfdfd843a039a721b22dcfe111690b64f392fd78fdb,127f7b7ca57f673a8d4de57df32219d6dc34629b3c2603ddd80386724e5477a8,d22d7f090d6389c670a429efd399d525ac5468a983fa50872da72962e5a2367e,a7647b74a30a12a894d7aab50c244d38ad056b7d4c1698e0f3771b8e0a2a3b80,14a2e221c2f5b2aa7da812b04490cc00f2160762ef4da9a69880d10244483442,f1cfb98206fea8381af5136fef5349dec786ee43f0d362a6c15f2bcebb739859,1932149.315970927,0.0,2480946.0503024547,5941565.344336005,-3460619.29403355,350000.0,0.0,62877.263581488754,0.0,12250000.0,0.0,0.0,1.0,01a34e4c7fc41dfe101c4d4b17fc33a66dfce2e8a8ed7356b8a0b14842359c8d,PASS
h01,LA-0580,580,8723875c48aebad312bdc9f1487b85e18cfbe42564a4f4745b090ebc5333dd89,e34f69d6103e23f77707b67a0ed729599c5ce477f5555d7e3942fef2b65aa89f,058f4e0c592f4d62e8c464f4d4358b2fdcf911a55337e489ce7b9f79df5b56f8,01ba9f59234a083694d8de1bd8d52d30e2eb06da68a7c206dc59b751f63b7e09,c2dbdd2e2200e5abeac4ee16d9f7ca173e53e9ef3f5d3e2e984211fad9586425,3b17753b7492ce7fe933f1e01b625c34f72cfba6c09caf608e49639a21285df7,1968893.7728355299,3499999.99999999,9963795.909338273,9963795.909338273,0.0,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,0c16f14f60a42af6c13880e300d2dd633b8e0698fa6dbbdce819a119311d5fb4,PASS
h01,LA-0675,675,bab19450561677deb6b23636869f7607e1e3e6710497f04c6391a0067f497101,c265438c4bad91431a516693979d957288ac56c94c1d846f5955caa442fa0f16,15d623f1c7705a153ad26c5430eb261d5063ef270a6be49c83bd8e78ac12bf7d,994ee0905c1ba68fb0a1208e70065221da9c0f1d4d6decd880aecd4f4dc2035b,551b1a303989d5520c1e89153bf191a88abf7f0d7af6eceae416ab1a951852c2,e6b9dbbb6d2eb8be2c5b1b7af7eb9d367ddc845895e80632ccdff2756dd7224e,1164809.6040118746,3499999.99999999,4932101.512971129,4932101.512971129,0.0,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,d6be24dfcf147f874e60900c3d4b403e68cf7af7a4948d176ab96dd9f84e7682,PASS
h01,LA-0291,291,c49558a9b7563b83f580a23e3ddcbb085551f979eac28be20c15c6cdd483ac85,a74cc2a6364a9030691ae7ca176092a0294200da6891d0749e94c00b376de399,acae47a166bc63845bcf261cf95ba13c4f2857698dd11dd90049c36d089d27a7,adc788f2425b06ba5fa2463ba714dfe315ea87b15bfbc2767c60bbbeaadf36ee,4b6466ed282aab8f0374abd6460a729ab633cdc802e74529c1ead2b8bdcb64de,d8e39378770b3147936413ce3d2c9f4bba249661c3e24c3e0886877da8ac2092,715317.0379084698,3499999.99999999,8400599.772897549,9350796.126935035,-950196.354037486,350000.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,df316ed45fb885da592645b77b1f9d15171ebf43a35fd134edf9556f511343e8,PASS
h01,LA-0482,482,91f82285c6ac47b62dd34e51b1c93ded23c646243da9e00df5f9ec30230d3df7,02d7fef37ba63c13d08807d7af827269285aeb77c3563178d153c3ca65f6b6a0,746a1e19ae5d0dcb790cbb2c01bbae70bc1f33ac71fa672d98d8d8b084c40174,9d67f2768c466af5fd190c3c747160f31a616a5005764f128e87dd58617e1c37,e3e8376b408da0d9a8aaffc8845797fb3790cf8a9fcab93e5b865b64c79ede32,7e15bbb298de865836b3c49901c9195804d4f6a8a7a39a65f4b2cca5eabb3049,1694642.51917511,4406779.999999991,6566665.785277845,5994505.61323642,572160.1720414255,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,e0590ac5750a7d36ba16b5e367809facf32ffb38f3821c2a89b1c19da23fb314,PASS
h01,LA-0568,568,d409d3b4580e816bd304440de30ee5d249ff8d038fb56a5c42f052848111c97c,48fb7b46842b1d826b9c1a81a0eaad0cde6c720b7deaaf548b29379af1279c1d,7e7a9a2e1d350ee2db6dede2a0cec3e144cc21ef26b1d7c00cd17752d60c73a6,90a09963c36437859cb59fee02b9c0880e6e5650ce5413f294a22557737b2dcc,47ce3a704bcfa4be991cac67ae36b5170b53ad4addab422cef8c819c54903bdd,fa73507644a8337068e44a3d5f66fba34b5594793ef73f8ffb68ec8a7164eb15,1299794.1023181796,5499060.0,11806677.158175798,11120036.90162725,686640.2565485481,0.0,350000.0,62877.263581488754,0.0,0.0,12250000.0,12600000.0,0.004965479983156995,829a83014b8945ec48438868a430c799a66e9b8221b541f931bafb68bd82460b,PASS
h01,LA-0800,800,11fe39ac88f16a30e4dc05e31629f1c28c9419f230f9105c4f8d81746cadbe3e,d529d4a0dc29edfe592e73f714282a2d97495b805e40533f2b9d6565b970960a,ca7d42291023c0012954a61bed14c25b497a4eb0aa6405cc2321034122d68da8,da82ee469ecf6d62135bcb531c2f8bcd50209b5d440ff7d0c721d250ea48aaf9,7693e7e7685d6910560489365d29bdcc18d2b78f66029bb8dc1c16e3de750490,07b18ac5bde3d931a38bea9d2348bae136868b5e34d882dcfc678bfd81fd893f,704973.1825477654,4406779.999999991,13919730.383930378,13152152.606458329,767577.777472049,0.0,350000.0,0.0,62877.263581488754,12250000.0,0.0,412877.26358148875,0.9673946722385973,2719dd44781b20cfef5255915558c8bd599aba61d153a0e5cddea41e77f3ee58,PASS
h01,LA-0187,187,1acc5acda7f5f87dfb8f2a82c61be5f30abe956f56ab10291f1c04ec32fef984,800a3dfdab467f477a69a3876f27827034ef030205d7aa4aa1e9ccc15066b425,f8d29718118a6e091b351d09bbbfabb27d8a24663421c18be58c424099441ce4,85b05c5e20af7b28bc55384ae4d64618fb4d37c1b827fd1b904fcb10d9d88281,c6dab224fb0962200aa9e1c4c5d8502ffcd176243c42809b6c69fc5c02b41049,bda1a3b104d2745dd4ced04914e069483ee354bdb5a0637eb36649d093fb0bf4,1660437.7381814097,3499999.99999999,15291808.540722977,15291808.540722977,0.0,0.0,0.0,0.0,62877.263581488754,12250000.0,0.0,62877.263581488754,0.9950345200168429,50f86451620ef08918314c4879ab7ec79b55ac343ea833cbca68986c9adca85a,PASS
h01,LA-0814,814,2bcbf6b7ed965aeb5f54c57374f7b1aef5a541229c51f756f6bdd939747a7a85,785e47b1a8e6b5c916a530eb8160f722749f9c023e336dbc8145001ba73e17a8,cb32a1add446f7a38c2743b12f5650275c891cd1e17e9ed5635d4449318d8dd1,a6134015abbeeaa9bd683f27963b8b796b3c13620e84ce3b20911f1ba2af025f,b639ec772577f537aee4d4426d24430a63fbc93f8dbeaa892898212b73fb7ab3,16c3451ca37b0f2bb237cc26e191c1e80ea4e6d827e31b23aa0ea1050284cb22,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,f4cdfa484c8deb923dec768300c09570312c4c287ebe541b0167dd1dd961977d,PASS
h01,LA-0420,420,4917d7b0a40c718db3147d5ace3dc31c09243c15f06c07cd7ab7f5e2374e47ea,11bf839c76e9f634897f1257e011290c38d2a8ac3a49b7f3013b41c243418453,f0ffe4d3fe2eb85ccdaeb6d0db77f725cbff0549317eace05e6ae43bb3524608,1c456b5f85377d27c289a24e619f36390573d3c04ac34e64654a9ec5ef9ef216,9d23f922375deb0b13451992e2f58d3727daa96061d8e40053551ad60efa994b,f70e35e5e06445f0eb6db70c661da17e6aae945baeb43f78cbe1a693e909eb85,0.0,4592280.0,23730185.85543848,23730185.85543848,0.0,0.0,0.0,0.0,0.0,0.0,12250000.0,12250000.0,0.03260532776140268,3b4c3936f437fd836c0d2b3972b22f7fa9c5167c6527da072e37ec5ae413301f,PASS
